epoch,meta_loss,checkpoint_selection_meta_loss,checkpoint_selection_metric,mean_support_loss,gradient_norm,elapsed_seconds,outer_learning_rate,CALCE_CX2_16_support_loss,CALCE_CX2_16_query_loss,CALCE_CX2_33_support_loss,CALCE_CX2_33_query_loss,CALCE_CX2_34_support_loss,CALCE_CX2_34_query_loss,CALCE_CX2_35_support_loss,CALCE_CX2_35_query_loss,CALCE_CX2_36_support_loss,CALCE_CX2_36_query_loss
1,0.36660274863243103,0.34901395440101624,deterministic_post_update_meta_query_loss,0.9296289682388306,1.4899738925265313,2.7250898519996554,0.001,0.9025200009346008,0.4330276548862457,0.9283583760261536,0.3632645606994629,0.9249039888381958,0.3338041603565216,0.9775413274765015,0.3904902935028076,0.9148209691047668,0.31242695450782776
2,0.3390546441078186,0.3235151469707489,deterministic_post_update_meta_query_loss,0.8909170031547546,1.463849783357459,5.492715623928234,0.001,0.8650529980659485,0.40241414308547974,0.8897914886474609,0.33593297004699707,0.8852832317352295,0.307003915309906,0.9385460019111633,0.3613032102584839,0.8759114146232605,0.28861892223358154
3,0.3117084503173828,0.29731498956680297,deterministic_post_update_meta_query_loss,0.8520240783691406,1.4386101922589971,8.3005809080787,0.001,0.827970027923584,0.3729163110256195,0.8516064882278442,0.308633416891098,0.8485185503959656,0.2815873622894287,0.895513653755188,0.33108386397361755,0.836511492729187,0.26432138681411743
4,0.28395578265190125,0.27041600942611693,deterministic_post_update_meta_query_loss,0.8131483197212219,1.4112400694497471,11.127952645067126,0.001,0.785834550857544,0.34042784571647644,0.8127682209014893,0.2819446325302124,0.8085697889328003,0.2551703453063965,0.8593448996543884,0.3031156361103058,0.7992241382598877,0.23912052810192108
5,0.2538701593875885,0.2428578406572342,deterministic_post_update_meta_query_loss,0.7699865698814392,1.375058189428528,14.051021265098825,0.001,0.74896240234375,0.3074251115322113,0.7667672634124756,0.250822514295578,0.7664691209793091,0.22754287719726562,0.8145133256912231,0.2720871865749359,0.7532206773757935,0.2114730328321457
6,0.22545813024044037,0.21467905342578888,deterministic_post_update_meta_query_loss,0.7296149134635925,1.3354847974944544,16.913287837058306,0.001,0.7070709466934204,0.2755710780620575,0.7287777066230774,0.22276492416858673,0.7292689681053162,0.20145216584205627,0.7708097696304321,0.24190765619277954,0.7121472358703613,0.1855948120355606
7,0.19737301766872406,0.18596009612083436,deterministic_post_update_meta_query_loss,0.6918162107467651,1.2911746275448202,19.769682662095875,0.001,0.6703258752822876,0.24291567504405975,0.6906059384346008,0.19514361023902893,0.6827352046966553,0.17313061654567719,0.7364957332611084,0.21336686611175537,0.6789182424545288,0.16230832040309906
8,0.16843575239181519,0.15687576234340667,deterministic_post_update_meta_query_loss,0.651561439037323,1.2330855011410131,22.720904821064323,0.001,0.6291784048080444,0.21096384525299072,0.655171275138855,0.16646453738212585,0.6452103853225708,0.14786209166049957,0.6919993162155151,0.18170931935310364,0.6362477540969849,0.13517895340919495
9,0.13925400376319885,0.1277569890022278,deterministic_post_update_meta_query_loss,0.6015312075614929,1.160315082725797,25.578038820065558,0.001,0.5779632925987244,0.17621131241321564,0.5986778736114502,0.13756905496120453,0.5968292951583862,0.12086957693099976,0.6432571411132812,0.1511150449514389,0.590928316116333,0.11050498485565186
10,0.11102922260761261,0.09918003231287002,deterministic_post_update_meta_query_loss,0.5584331750869751,1.0700530220427353,28.438155871117488,0.001,0.5396140813827515,0.1438285857439041,0.5532617568969727,0.10953550785779953,0.5626999139785767,0.09545581042766571,0.590888500213623,0.11964485049247742,0.5457016229629517,0.08668137341737747
