file_name,cycle,soh,mean_voltage_V,mean_current_A,input_soh,input_voltage_mean_z,input_current_mean_z
HUST_1-1.pkl,1,1.0800428434343377,3.3066687799043066,-0.004839051435406795,1.0800428434343377,4.52982289056904,0.688732618309501
HUST_1-1.pkl,2,1.0789707904040347,3.297230291970803,-0.004372341849148419,1.0789707904040347,-2.618493216687343,1.2740961451967585
HUST_1-1.pkl,3,1.0786979368686844,3.297379318734793,-0.005081824817518305,1.0786979368686844,-2.5056265769302257,0.38423773032906217
HUST_1-1.pkl,4,1.0778587499999968,3.297318734793187,-0.005504020681265101,1.0778587499999968,-2.551510321092985,-0.14529512504112432
HUST_1-1.pkl,5,1.0773193459595933,3.2974301703163023,-0.006003453771289828,1.0773193459595933,-2.467113715363565,-0.7717016177057656
HUST_1-1.pkl,6,1.0773181590909058,3.2972577858880783,-0.006480183698296893,1.0773181590909058,-2.5976704733522618,-1.3696330072938707
HUST_1-1.pkl,7,1.0767460176767634,3.2988940316686963,-0.003841535931790384,1.0767460176767634,-1.358446335818138,1.9398515378989563
HUST_1-1.pkl,8,1.0767334065656529,3.298951157125457,-0.004369354445797887,1.0767334065656529,-1.3151819034670607,1.2778430512235273
HUST_1-1.pkl,9,1.0767432727272699,3.298934713763703,-0.004412281364189998,1.0767432727272699,-1.3276354181096202,1.2240026050697246
HUST_1-1.pkl,10,1.0761807803030274,3.299217274939173,-0.004346336982968608,1.0761807803030274,-1.113635398601451,1.3067123601437949
HUST_1-1.pkl,11,1.0761669090909052,3.2994434306569342,-0.00486541849148431,1.0761669090909052,-0.9423545142679034,0.6556621320936399
HUST_1-1.pkl,12,1.0756097803030267,3.299250608272506,-0.004918750608272551,1.0756097803030267,-1.0883901257089796,0.588771121283665
HUST_1-1.pkl,13,1.075603270202016,3.2993354014598544,-0.005402554744525477,1.075603270202016,-1.0241713110875283,-0.018032989576985986
HUST_1-1.pkl,14,1.0756049015151472,3.299269343065693,-0.0054063041362531865,1.0756049015151472,-1.0742011767111612,-0.022735608143296605
HUST_1-1.pkl,15,1.075044805555552,3.2992734793187344,-0.005451614355231269,1.075044805555552,-1.0710685516076595,-0.0795652734554659
HUST_1-1.pkl,16,1.0750507146464607,3.2992051094890513,-0.005977835766423323,1.0750507146464607,-1.1228490018468271,-0.7395706177820354
HUST_1-1.pkl,17,1.0750490277777742,3.299061192214112,-0.0059927980535279275,1.0750490277777742,-1.2318459282409335,-0.758336842877318
HUST_1-1.pkl,18,1.0745017803030272,3.299148418491484,-0.005983985401459784,1.0745017803030272,-1.1657843929712144,-0.7472837056636695
HUST_1-1.pkl,19,1.0744977904040367,3.299041484184915,-0.00652574574209255,1.0744977904040367,-1.2467719654985974,-1.4267785201217398
HUST_1-1.pkl,20,1.0745019621212089,3.2989199513381995,-0.006513103406326235,1.0745019621212089,-1.3388158619213062,-1.410922059337225
HUST_1-1.pkl,21,1.0739573282828243,3.300592326431181,-0.003849523751522468,1.0739573282828243,-0.07222889388588094,1.9298329343215193
HUST_1-1.pkl,22,1.073964767676765,3.3006876979293542,-0.004351855054811294,1.073964767676765,1.491040897477617e-06,1.2997914009637017
HUST_1-1.pkl,23,1.0739461691919148,3.3003543239951276,-0.004323621193666319,1.0739461691919148,-0.25248198730444116,1.335203299549214
HUST_1-1.pkl,24,1.0739207171717131,3.300266017052375,-0.004323791717417964,1.0739207171717131,-0.3193619733474306,1.3349894226809857
HUST_1-1.pkl,25,1.0739113939393878,3.3001961023142514,-0.004364276492082709,1.0739113939393878,-0.3723124726420109,1.2842119988166485
HUST_1-1.pkl,26,1.0738715732323156,3.300103775883069,-0.004399289890377556,1.0738715732323156,-0.4422366511541981,1.2402969670331927
HUST_1-1.pkl,27,1.0735702424242353,3.300570802919708,-0.004370257907542447,1.0735702424242353,-0.08852990150827796,1.2767098978262652
HUST_1-1.pkl,28,1.0727454494949429,3.3002780755176615,-0.005076920828258178,1.0727454494949429,-0.31022939594286447,0.39038848560310585
HUST_1-1.pkl,29,1.0732900075757494,3.3005152068126518,-0.004944543795620365,1.0732900075757494,-0.1306360683404232,0.556420401349617
HUST_1-1.pkl,30,1.0732943560605985,3.300444160583942,-0.004970701946472152,1.0732943560605985,-0.1844435112936612,0.5236119313925118
HUST_1-1.pkl,31,1.0727118333333259,3.3004871046228708,-0.004981403892944121,1.0727118333333259,-0.1519194918374873,0.5101891748950215
HUST_1-1.pkl,32,1.0727229797979738,3.3001823386114495,-0.005601432399512981,1.0727229797979738,-0.38273652563944766,-0.26747231752364414
HUST_1-1.pkl,33,1.072715679292923,3.300515815085159,-0.0055035206812651186,1.072715679292923,-0.1301753881774313,-0.14466800751011388
HUST_1-1.pkl,34,1.0727001919191865,3.3004368613138686,-0.005491974452554764,1.0727001919191865,-0.18997167324115588,-0.1301863226269616
HUST_1-1.pkl,35,1.0726936717171633,3.3003614355231146,-0.005512824817518319,1.0726936717171633,-0.24709601336302522,-0.156337581421111
HUST_1-1.pkl,36,1.07267093686868,3.3003063260340633,-0.005481366180048356,1.07267093686868,-0.2888336360652478,-0.11688105530148145
HUST_1-1.pkl,37,1.0721415378787813,3.3004474452554744,-0.005540401459854167,1.0721415378787813,-0.18195583841760812,-0.19092517313276694
HUST_1-1.pkl,38,1.0721384722222154,3.300062728380024,-0.0061468599269184935,1.0721384722222154,-0.47332431363218413,-0.9515666462112351
