fold,seed,model,cell_id,alpha,beta,current_cycle,split,cycle,actual_soh,predicted_mean,predicted_std,lower_95,upper_95,schedule,cycle_step,requested_observed_cycle,observed_through_cycle
0,42,soh_only_anp,CALCE_CS2_33,0.15151515151515152,0.0,101,context,1,1.0461805559976194,,,,,step10,10,100,100
0,42,soh_only_anp,CALCE_CS2_33,0.15151515151515152,0.0,101,context,2,1.044353634420715,,,,,step10,10,100,100
0,42,soh_only_anp,CALCE_CS2_33,0.15151515151515152,0.0,101,context,3,1.0424005040174231,,,,,step10,10,100,100
0,42,soh_only_anp,CALCE_CS2_33,0.15151515151515152,0.0,101,context,4,1.043208098499184,,,,,step10,10,100,100
0,42,soh_only_anp,CALCE_CS2_33,0.15151515151515152,0.0,101,context,5,1.0433093495745307,,,,,step10,10,100,100
0,42,soh_only_anp,CALCE_CS2_33,0.15151515151515152,0.0,101,context,6,1.0427695272652104,,,,,step10,10,100,100
0,42,soh_only_anp,CALCE_CS2_33,0.15151515151515152,0.0,101,context,7,1.041988239602114,,,,,step10,10,100,100
0,42,soh_only_anp,CALCE_CS2_33,0.15151515151515152,0.0,101,context,8,1.0412418146865599,,,,,step10,10,100,100
0,42,soh_only_anp,CALCE_CS2_33,0.15151515151515152,0.0,101,context,9,1.0405643874796089,,,,,step10,10,100,100
0,42,soh_only_anp,CALCE_CS2_33,0.15151515151515152,0.0,101,context,10,1.0398483343364808,,,,,step10,10,100,100
0,42,soh_only_anp,CALCE_CS2_33,0.15151515151515152,0.0,101,context,11,1.0389616596407174,,,,,step10,10,100,100
0,42,soh_only_anp,CALCE_CS2_33,0.15151515151515152,0.0,101,context,12,1.0382912972879017,,,,,step10,10,100,100
0,42,soh_only_anp,CALCE_CS2_33,0.15151515151515152,0.0,101,context,13,1.037617757525814,,,,,step10,10,100,100
0,42,soh_only_anp,CALCE_CS2_33,0.15151515151515152,0.0,101,context,14,1.0368984559698549,,,,,step10,10,100,100
0,42,soh_only_anp,CALCE_CS2_33,0.15151515151515152,0.0,101,context,15,1.0362582878805673,,,,,step10,10,100,100
0,42,soh_only_anp,CALCE_CS2_33,0.15151515151515152,0.0,101,context,16,1.0332256016130839,,,,,step10,10,100,100
0,42,soh_only_anp,CALCE_CS2_33,0.15151515151515152,0.0,101,context,17,1.0298783340767907,,,,,step10,10,100,100
0,42,soh_only_anp,CALCE_CS2_33,0.15151515151515152,0.0,101,context,18,1.0284499732282795,,,,,step10,10,100,100
0,42,soh_only_anp,CALCE_CS2_33,0.15151515151515152,0.0,101,context,19,1.0272140320250622,,,,,step10,10,100,100
0,42,soh_only_anp,CALCE_CS2_33,0.15151515151515152,0.0,101,context,20,1.0297968042399979,,,,,step10,10,100,100
0,42,soh_only_anp,CALCE_CS2_33,0.15151515151515152,0.0,101,context,21,1.0247177243942802,,,,,step10,10,100,100
0,42,soh_only_anp,CALCE_CS2_33,0.15151515151515152,0.0,101,context,22,1.0235121017108195,,,,,step10,10,100,100
0,42,soh_only_anp,CALCE_CS2_33,0.15151515151515152,0.0,101,context,23,1.0244839806775616,,,,,step10,10,100,100
0,42,soh_only_anp,CALCE_CS2_33,0.15151515151515152,0.0,101,context,24,1.0261981308516477,,,,,step10,10,100,100
0,42,soh_only_anp,CALCE_CS2_33,0.15151515151515152,0.0,101,context,25,1.0221887018736204,,,,,step10,10,100,100
0,42,soh_only_anp,CALCE_CS2_33,0.15151515151515152,0.0,101,context,26,1.0209383646987857,,,,,step10,10,100,100
0,42,soh_only_anp,CALCE_CS2_33,0.15151515151515152,0.0,101,context,27,1.0202363880112588,,,,,step10,10,100,100
0,42,soh_only_anp,CALCE_CS2_33,0.15151515151515152,0.0,101,context,28,1.019849489617456,,,,,step10,10,100,100
0,42,soh_only_anp,CALCE_CS2_33,0.15151515151515152,0.0,101,context,29,1.0224639471706616,,,,,step10,10,100,100
0,42,soh_only_anp,CALCE_CS2_33,0.15151515151515152,0.0,101,context,30,1.0210817031338177,,,,,step10,10,100,100
0,42,soh_only_anp,CALCE_CS2_33,0.15151515151515152,0.0,101,context,31,1.0181353039415901,,,,,step10,10,100,100
0,42,soh_only_anp,CALCE_CS2_33,0.15151515151515152,0.0,101,context,32,1.0173629272251672,,,,,step10,10,100,100
0,42,soh_only_anp,CALCE_CS2_33,0.15151515151515152,0.0,101,context,33,1.016231023986993,,,,,step10,10,100,100
0,42,soh_only_anp,CALCE_CS2_33,0.15151515151515152,0.0,101,context,34,1.0188966573554554,,,,,step10,10,100,100
0,42,soh_only_anp,CALCE_CS2_33,0.15151515151515152,0.0,101,context,35,1.0185577396167473,,,,,step10,10,100,100
0,42,soh_only_anp,CALCE_CS2_33,0.15151515151515152,0.0,101,context,36,1.0146920573442173,,,,,step10,10,100,100
0,42,soh_only_anp,CALCE_CS2_33,0.15151515151515152,0.0,101,context,37,1.0139276685281986,,,,,step10,10,100,100
0,42,soh_only_anp,CALCE_CS2_33,0.15151515151515152,0.0,101,context,38,1.0131928526945653,,,,,step10,10,100,100
0,42,soh_only_anp,CALCE_CS2_33,0.15151515151515152,0.0,101,context,39,1.0157835773081256,,,,,step10,10,100,100
0,42,soh_only_anp,CALCE_CS2_33,0.15151515151515152,0.0,101,context,40,1.0162778685851415,,,,,step10,10,100,100
0,42,soh_only_anp,CALCE_CS2_33,0.15151515151515152,0.0,101,context,41,1.0164414075327515,,,,,step10,10,100,100
0,42,soh_only_anp,CALCE_CS2_33,0.15151515151515152,0.0,101,context,42,1.016455466237463,,,,,step10,10,100,100
0,42,soh_only_anp,CALCE_CS2_33,0.15151515151515152,0.0,101,context,43,1.0168613225815588,,,,,step10,10,100,100
0,42,soh_only_anp,CALCE_CS2_33,0.15151515151515152,0.0,101,context,44,1.0166497142244049,,,,,step10,10,100,100
0,42,soh_only_anp,CALCE_CS2_33,0.15151515151515152,0.0,101,context,45,1.016404645440002,,,,,step10,10,100,100
0,42,soh_only_anp,CALCE_CS2_33,0.15151515151515152,0.0,101,context,46,1.0195740490606269,,,,,step10,10,100,100
0,42,soh_only_anp,CALCE_CS2_33,0.15151515151515152,0.0,101,context,47,1.0184434771391868,,,,,step10,10,100,100
0,42,soh_only_anp,CALCE_CS2_33,0.15151515151515152,0.0,101,context,48,1.0152801975755386,,,,,step10,10,100,100
0,42,soh_only_anp,CALCE_CS2_33,0.15151515151515152,0.0,101,context,49,1.015224584037835,,,,,step10,10,100,100
0,42,soh_only_anp,CALCE_CS2_33,0.15151515151515152,0.0,101,context,50,1.012816817845312,,,,,step10,10,100,100
0,42,soh_only_anp,CALCE_CS2_33,0.15151515151515152,0.0,101,context,51,1.0115283340083243,,,,,step10,10,100,100
0,42,soh_only_anp,CALCE_CS2_33,0.15151515151515152,0.0,101,context,52,1.010756152551689,,,,,step10,10,100,100
0,42,soh_only_anp,CALCE_CS2_33,0.15151515151515152,0.0,101,context,53,1.0091392417518577,,,,,step10,10,100,100
0,42,soh_only_anp,CALCE_CS2_33,0.15151515151515152,0.0,101,context,54,1.009291313624665,,,,,step10,10,100,100
0,42,soh_only_anp,CALCE_CS2_33,0.15151515151515152,0.0,101,context,55,1.0083419250352834,,,,,step10,10,100,100
0,42,soh_only_anp,CALCE_CS2_33,0.15151515151515152,0.0,101,context,56,1.0067844619653494,,,,,step10,10,100,100
