file_name,cycle,soh,mean_voltage_V,mean_current_A,input_soh,input_voltage_mean_z,input_current_mean_z
CALCE_CX2_37.pkl,1,0.9995496399535674,3.821883892883425,-0.05876998250428385,0.9995496399535674,0.022197519141963662,0.15850642028922465
CALCE_CX2_37.pkl,2,0.9976789637446887,3.822610132051099,-0.06102182053844603,0.9976789637446887,0.07143960003494453,0.1329361333830126
CALCE_CX2_37.pkl,3,0.9952212983377051,3.8236467113233594,-0.05959918203278068,0.9952212983377051,0.14172404990856394,0.1490906143900013
CALCE_CX2_37.pkl,4,0.9929975270307863,3.8238689532646766,-0.061493325523810156,0.9929975270307863,0.15679299157306278,0.12758205481672005
CALCE_CX2_37.pkl,5,0.9972642133804093,3.825233816126062,-0.06095504812609654,0.9972642133804093,0.24933645441525695,0.13369435387458165
CALCE_CX2_37.pkl,6,0.9974365044020179,3.8226257497849674,-0.059212479044617794,0.9974365044020179,0.07249854831086162,0.1534817411961055
CALCE_CX2_37.pkl,7,0.9910828902556466,3.8208589508233826,-0.057520459287754094,0.9910828902556466,-0.04729787862470836,0.1726951259856032
CALCE_CX2_37.pkl,8,0.9886772280369084,3.8218633951721612,-0.06182248423427374,0.9886772280369084,0.020807687801125487,0.12384436030381776
CALCE_CX2_37.pkl,9,0.987248602435169,3.823515941808512,-0.061538211490367575,0.987248602435169,0.13285732484734944,0.12707236139049508
CALCE_CX2_37.pkl,10,0.985768244844094,3.82442752564151,-0.06025808104873475,0.985768244844094,0.19466655635573488,0.14160862118064738
CALCE_CX2_37.pkl,11,0.9878613066496813,3.8246679614726506,-0.0637344757705358,0.9878613066496813,0.21096912054340525,0.10213313089798705
CALCE_CX2_37.pkl,12,0.9831991928600963,3.8196499492582037,-0.05893617810778582,0.9831991928600963,-0.12927328772163585,0.1566192200556263
CALCE_CX2_37.pkl,13,0.9817436380049386,3.8221180147594875,-0.06298122219058212,0.9817436380049386,0.03807197052525638,0.11068654808889665
CALCE_CX2_37.pkl,14,0.9807419170479028,3.8229023241270284,-0.06258264759899222,0.9807419170479028,0.09125145607306655,0.11521248046319016
CALCE_CX2_37.pkl,15,0.9791754332890774,3.824424871163116,-0.059465085576686616,0.9791754332890774,0.19448657151654783,0.15061331931078717
CALCE_CX2_37.pkl,16,0.9821162422660534,3.824423061439918,-0.06498145999614387,0.9821162422660534,0.1943638646452102,0.08797325619448408
CALCE_CX2_37.pkl,17,0.9837343514519153,3.824643455816237,-0.059080607401252434,0.9837343514519153,0.20930753360461368,0.15497918271032193
CALCE_CX2_37.pkl,18,0.9839983331920062,3.821628829336035,-0.06265976288773283,0.9839983331920062,0.004903134051630135,0.11433681355107751
CALCE_CX2_37.pkl,19,0.9839841710987536,3.8250040981723585,-0.05716216899986961,0.9839841710987536,0.23376060755605285,0.17676361817639444
CALCE_CX2_37.pkl,20,0.9839509887563248,3.8245016595877237,-0.05726969036661388,0.9839509887563248,0.19969315081506225,0.1755426812553152
CALCE_CX2_37.pkl,21,0.983860641445913,3.8245306356550905,-0.05731669893257702,0.983860641445913,0.20165785048529475,0.175008885085035
CALCE_CX2_37.pkl,22,0.9837797440643042,3.8229690881875844,-0.060997095727313766,0.9837797440643042,0.09577834117783893,0.13321689092630062
CALCE_CX2_37.pkl,23,0.9834495957282271,3.8211809534292955,-0.060610084897724355,0.9834495957282271,-0.02546474282881959,0.13761151336285354
CALCE_CX2_37.pkl,24,0.9830167980854955,3.8238209009827333,-0.05737821231551273,0.9830167980854955,0.15353484403728407,0.1743103824279276
CALCE_CX2_37.pkl,25,0.9827742719609278,3.8239595528804893,-0.05737571193809049,0.9827742719609278,0.1629360279298204,0.1743387749530962
CALCE_CX2_37.pkl,26,0.9823150050185455,3.823916307165603,-0.05735420563920323,0.9823150050185455,0.16000378592814732,0.1745829853378997
CALCE_CX2_37.pkl,27,0.9819675494472448,3.8238837679555595,-0.05733720132173167,0.9819675494472448,0.1577974901450671,0.17477607439217258
