cell_id,cycle_number,cycle_alpha,beta,q_cut,actual_q_end,predicted_q_end,endpoint_absolute_error_q,observed_points,future_points,voltage_mae_v,voltage_rmse_v
MATR_b1c14,176,0.2,0.2,0.2568511545454545,0.9760202727272727,0.9554473161697388,0.020572956557533884,54,153,0.044473574052449144,0.07543466002720425
MATR_b1c14,176,0.2,0.4,0.5794946727272727,0.9760202727272727,0.9578664898872375,0.018153782840035104,123,84,0.05144736880347842,0.08588707366075798
MATR_b1c14,176,0.2,0.6,0.8850806454545455,0.9760202727272727,0.9636613726615906,0.012358900065682077,188,19,0.04160881669897782,0.04833641679187429
MATR_b1c14,439,0.5,0.2,0.24733483636363632,0.9627270909090909,0.9538487792015076,0.008878311707583353,52,152,0.01612012245153126,0.026805704236595063
MATR_b1c14,439,0.5,0.4,0.5643005272727273,0.9627270909090909,0.9508043527603149,0.01192273814877598,119,85,0.01988390614004696,0.02890934186017527
MATR_b1c14,439,0.5,0.6,0.8609440636363636,0.9627270909090909,0.9529226422309875,0.009804448678103372,182,22,0.03334867412393743,0.04145885018887041
MATR_b1c14,703,0.8,0.2,0.2515950818181818,0.9190197272727272,0.9086351990699768,0.010384528202750376,53,142,0.032208887624068996,0.044079686117818366
MATR_b1c14,703,0.8,0.4,0.5740105,0.9190197272727272,0.9119030237197876,0.007116703552939585,121,74,0.02415105781039676,0.03698216729210183
MATR_b1c14,703,0.8,0.6,0.8263774363636364,0.9190197272727272,0.9211450815200806,0.0021253542473533837,175,20,0.036715394258499144,0.05384696337510215
MATR_b1c18,138,0.2,0.2,0.2500389909090909,0.9632604545454545,0.9402429461479187,0.023017508397535802,53,151,0.054062691745379116,0.09745860401027472
MATR_b1c18,138,0.2,0.4,0.5782519727272727,0.9632604545454545,0.9389182329177856,0.02434222162766886,122,82,0.09182564805193645,0.1485068778692838
MATR_b1c18,138,0.2,0.6,0.8727695181818181,0.9632604545454545,0.9583807587623596,0.004879695783094884,185,19,0.050704121589660645,0.062250776394213544
MATR_b1c18,345,0.5,0.2,0.23729313636363636,0.9412447272727272,0.9284389615058899,0.01280576576683734,50,150,0.029904056390126547,0.05187410526658053
MATR_b1c18,345,0.5,0.4,0.548770209090909,0.9412447272727272,0.9189328551292419,0.02231187214348529,116,84,0.06711072155407496,0.11458067360651704
MATR_b1c18,345,0.5,0.6,0.8347411545454545,0.9412447272727272,0.9393673539161682,0.00187737335655902,177,23,0.04896785901940387,0.07169666812052945
MATR_b1c18,551,0.8,0.2,0.2355567181818182,0.9085516999999999,0.8769157528877258,0.03163594711227402,50,143,0.06130861319028414,0.10578983280516761
MATR_b1c18,551,0.8,0.4,0.5469993,0.9085516999999999,0.8791722059249878,0.029379494075012058,116,77,0.08782944896004417,0.14209798294800044
MATR_b1c18,551,0.8,0.6,0.805361809090909,0.9085516999999999,0.9096734523773193,0.0011217523773194849,171,22,0.04907003857872703,0.07297656648309263
MATR_b1c19,158,0.2,0.2,0.2566032,0.9850907272727272,0.9515569806098938,0.033533746662833375,54,155,0.055287870284049745,0.099612979913065
MATR_b1c19,158,0.2,0.4,0.5847498545454545,0.9850907272727272,0.9554632306098938,0.029627496662833375,124,85,0.0691193608676686,0.11908860546336819
MATR_b1c19,158,0.2,0.6,0.8898551363636362,0.9850907272727272,0.9641552567481995,0.02093547052452771,189,20,0.08049630522727966,0.10332973658730485
