cell_id,batch,cycle,normalized_life,soh
MATR_b4c24,b4,1,0.0,0.9506609999999999
MATR_b4c24,b4,2,0.0008976660682226212,0.9511342727272726
MATR_b4c24,b4,3,0.0017953321364452424,0.9515129090909089
MATR_b4c24,b4,4,0.0026929982046678637,0.9518500909090908
MATR_b4c24,b4,5,0.003590664272890485,0.9519500909090909
MATR_b4c24,b4,6,0.004488330341113106,0.952076909090909
MATR_b4c24,b4,7,0.005385996409335727,0.9522070909090907
MATR_b4c24,b4,8,0.0062836624775583485,0.9523227272727272
MATR_b4c24,b4,9,0.00718132854578097,0.9523798181818182
MATR_b4c24,b4,10,0.00807899461400359,0.9524452727272725
MATR_b4c24,b4,11,0.008976660682226212,0.9525021818181818
MATR_b4c24,b4,12,0.009874326750448833,0.9525808181818181
MATR_b4c24,b4,13,0.010771992818671455,0.9526201818181819
MATR_b4c24,b4,14,0.011669658886894075,0.9527162727272728
MATR_b4c24,b4,15,0.012567324955116697,0.9526111818181818
MATR_b4c24,b4,16,0.013464991023339317,0.9527349090909091
MATR_b4c24,b4,17,0.01436265709156194,0.9527957272727272
MATR_b4c24,b4,18,0.01526032315978456,0.9528705454545453
MATR_b4c24,b4,19,0.01615798922800718,0.9528449090909091
MATR_b4c24,b4,20,0.017055655296229804,0.9528900909090908
MATR_b4c24,b4,21,0.017953321364452424,0.9529678181818181
MATR_b4c24,b4,22,0.018850987432675045,0.9531223636363636
MATR_b4c24,b4,23,0.019748653500897665,0.9531711818181817
MATR_b4c24,b4,24,0.02064631956912029,0.9531950909090909
MATR_b4c24,b4,25,0.02154398563734291,0.9532753636363634
MATR_b4c24,b4,26,0.02244165170556553,0.9532913636363635
MATR_b4c24,b4,27,0.02333931777378815,0.9532402727272726
MATR_b4c24,b4,28,0.02423698384201077,0.9532881818181816
MATR_b4c24,b4,29,0.025134649910233394,0.9532578181818181
MATR_b4c24,b4,30,0.026032315978456014,0.9532893636363635
MATR_b4c24,b4,31,0.026929982046678635,0.953361
MATR_b4c24,b4,32,0.027827648114901255,0.953313
MATR_b4c24,b4,33,0.02872531418312388,0.9533500909090907
MATR_b4c24,b4,34,0.0296229802513465,0.953303727272727
MATR_b4c24,b4,35,0.03052064631956912,0.9532470000000001
MATR_b4c24,b4,36,0.03141831238779174,0.9532320909090909
MATR_b4c24,b4,37,0.03231597845601436,0.9531339999999998
MATR_b4c24,b4,38,0.03321364452423698,0.9531809999999998
MATR_b4c24,b4,39,0.03411131059245961,0.9531396363636363
MATR_b4c24,b4,40,0.03500897666068223,0.9531364545454544
MATR_b4c24,b4,41,0.03590664272890485,0.9530673636363636
MATR_b4c24,b4,42,0.03680430879712747,0.953033
MATR_b4c24,b4,43,0.03770197486535009,0.9530689090909091
MATR_b4c24,b4,44,0.03859964093357271,0.953026818181818
MATR_b4c24,b4,45,0.03949730700179533,0.9530259999999999
MATR_b4c24,b4,46,0.04039497307001795,0.9529740909090908
MATR_b4c24,b4,47,0.04129263913824058,0.952891909090909
MATR_b4c24,b4,48,0.0421903052064632,0.9518645454545454
MATR_b4c24,b4,49,0.04308797127468582,0.9529955454545455
MATR_b4c24,b4,50,0.04398563734290844,0.9530013636363636
MATR_b4c24,b4,51,0.04488330341113106,0.9529289999999998
MATR_b4c24,b4,52,0.04578096947935368,0.9529395454545454
MATR_b4c24,b4,53,0.0466786355475763,0.9529546363636362
MATR_b4c24,b4,54,0.04757630161579892,0.9529538181818182
MATR_b4c24,b4,55,0.04847396768402154,0.9530188181818182
MATR_b4c24,b4,56,0.04937163375224417,0.9531192727272727
MATR_b4c24,b4,57,0.05026929982046679,0.9531692727272726
MATR_b4c24,b4,58,0.05116696588868941,0.9531359090909091
MATR_b4c24,b4,59,0.05206463195691203,0.9531817272727271
MATR_b4c24,b4,60,0.05296229802513465,0.9533145454545453
MATR_b4c24,b4,61,0.05385996409335727,0.953240909090909
MATR_b4c24,b4,62,0.05475763016157989,0.953285818181818
MATR_b4c24,b4,63,0.05565529622980251,0.9532600909090909
MATR_b4c24,b4,64,0.05655296229802514,0.9532369090909091
MATR_b4c24,b4,65,0.05745062836624776,0.9532271818181818
MATR_b4c24,b4,66,0.05834829443447038,0.9532099090909091
MATR_b4c24,b4,67,0.059245960502693,0.9532345454545454
MATR_b4c24,b4,68,0.06014362657091562,0.9532233636363636
MATR_b4c24,b4,69,0.06104129263913824,0.9531926363636364
MATR_b4c24,b4,70,0.06193895870736086,0.9530466363636363
MATR_b4c24,b4,71,0.06283662477558348,0.9529790909090907
MATR_b4c24,b4,72,0.06373429084380611,0.952979909090909
MATR_b4c24,b4,73,0.06463195691202872,0.9529737272727272
MATR_b4c24,b4,74,0.06552962298025135,0.9529174545454545
MATR_b4c24,b4,75,0.06642728904847396,0.9528693636363635
MATR_b4c24,b4,76,0.06732495511669659,0.9528074545454545
MATR_b4c24,b4,77,0.06822262118491922,0.9528446363636363
MATR_b4c24,b4,78,0.06912028725314183,0.9527170909090907
MATR_b4c24,b4,79,0.07001795332136446,0.9526161818181818
MATR_b4c24,b4,80,0.07091561938958707,0.9525565454545455
MATR_b4c24,b4,81,0.0718132854578097,0.952589909090909
MATR_b4c24,b4,82,0.07271095152603231,0.9524735454545454
MATR_b4c24,b4,83,0.07360861759425494,0.9523775454545453
MATR_b4c24,b4,84,0.07450628366247755,0.9523229999999999
MATR_b4c24,b4,85,0.07540394973070018,0.9522507272727272
MATR_b4c24,b4,86,0.0763016157989228,0.952179
MATR_b4c24,b4,87,0.07719928186714542,0.9522113636363635
MATR_b4c24,b4,88,0.07809694793536805,0.9521806363636363
MATR_b4c24,b4,89,0.07899461400359066,0.9522671818181818
MATR_b4c24,b4,90,0.07989228007181329,0.9522472727272726
MATR_b4c24,b4,91,0.0807899461400359,0.9523663636363636
MATR_b4c24,b4,92,0.08168761220825853,0.9523582727272726
MATR_b4c24,b4,93,0.08258527827648116,0.9523528181818182
MATR_b4c24,b4,94,0.08348294434470377,0.9523841818181817
MATR_b4c24,b4,95,0.0843806104129264,0.9524537272727271
MATR_b4c24,b4,96,0.08527827648114901,0.9523622727272727
MATR_b4c24,b4,97,0.08617594254937164,0.952275909090909
MATR_b4c24,b4,98,0.08707360861759425,0.952326909090909
MATR_b4c24,b4,99,0.08797127468581688,0.9522210909090908
MATR_b4c24,b4,100,0.08886894075403949,0.9521464545454545
MATR_b4c24,b4,101,0.08976660682226212,0.9521423636363636
