iteration,joint_total,joint_task,joint_domain,joint_fuzzy,joint_orthogonality,meta_total,meta_support,meta_query,meta_query_domain,body_update_norm,joint_gradient_norm,meta_gradient_norm,grl_strength,source_cv_meta_mae_cycles
1,0.5472553372383118,0.4414803087711334,1.0446486473083496,0.0019551925361156464,0.012124208733439445,1.0330315828323364,0.35409149527549744,0.6789401173591614,CS2_0.5C,0.01627609319984913,0.7243461608886719,3.0951719284057617,0.004999958333749888,
2,0.46470800042152405,0.3585405647754669,1.0438408851623535,0.0034256954677402973,0.016120577231049538,0.655655026435852,0.6277047991752625,0.027950208634138107,CS2_1C,0.025581296533346176,0.5845392942428589,1.0859410762786865,0.00999966667999952,
3,0.46070781350135803,0.35642123222351074,1.01971435546875,0.0030617238953709602,0.021620362997055054,0.9875811338424683,0.13451999425888062,0.8530611395835876,CX2_0.5C,0.01737491972744465,0.45438307523727417,0.9401106834411621,0.01499887510124065,
4,0.44420790672302246,0.3392576277256012,1.0265774726867676,0.004225644748657942,0.020812533795833588,0.6894922256469727,0.31661853194236755,0.3728736639022827,CS2_0.5C,0.01660318858921528,0.4803546071052551,2.22194766998291,0.01999733375993107,
5,0.4194588363170624,0.3159923851490021,1.009279489517212,0.0055259112268686295,0.022622058168053627,0.5718977451324463,0.5488582849502563,0.023039478808641434,CS2_1C,0.014685417525470257,0.4606074392795563,0.72615647315979,0.024994792968420665,
6,0.38963305950164795,0.2889440357685089,0.9827641248703003,0.00674270698800683,0.02075503021478653,0.815037727355957,0.06478264927864075,0.7502550482749939,CX2_0.5C,0.012954802252352238,0.5044646263122559,1.2978345155715942,0.02999100323881998,
7,0.3752714991569519,0.2748042643070221,0.9731059670448303,0.0076852417550981045,0.02772369235754013,0.45021238923072815,0.31591129302978516,0.134301096200943,CS2_0.5C,0.016403531655669212,0.5810995101928711,1.4412089586257935,0.0349857153327795,
8,0.31485623121261597,0.21785029768943787,0.9449867606163025,0.01026232447475195,0.019941624253988266,0.42756491899490356,0.4147930145263672,0.01277189888060093,CS2_1C,0.029992137104272842,0.6908336877822876,1.0797430276870728,0.039978680311163695,
9,0.3360031247138977,0.23898297548294067,0.9393473863601685,0.009501594118773937,0.026103323325514793,0.5904424786567688,0.06277862936258316,0.5276638269424438,CX2_0.5C,0.013762488029897213,0.592894434928894,1.5641052722930908,0.04496964958360028,
10,0.33994075655937195,0.24231524765491486,0.9535203576087952,0.01163934264332056,0.016914792358875275,0.3660900890827179,0.2513545751571655,0.11473552137613297,CS2_0.5C,0.02309032902121544,0.5120557546615601,1.2814432382583618,0.049958374957880025,
11,0.2650255858898163,0.17005304992198944,0.9302512407302856,0.013390889391303062,0.012778623960912228,0.2901358902454376,0.2838923931121826,0.0062435101717710495,CS2_1C,0.014878406189382076,0.6793718338012695,0.7316493391990662,0.05494460868918738,
12,0.2518523633480072,0.15911167860031128,0.9055241346359253,0.01882253773510456,0.012471395544707775,0.3969562351703644,0.0316181443631649,0.3653380870819092,CX2_0.5C,0.01579095982015133,0.4601612389087677,1.3031326532363892,0.05992810352914346,
13,0.20028668642044067,0.10768251866102219,0.9022573828697205,0.02087484858930111,0.013346938416361809,0.14307866990566254,0.13220997154712677,0.010868694633245468,CS2_0.5C,0.007288494613021612,0.38576117157936096,0.4316803812980652,0.06490861277463744,
14,0.2737872004508972,0.18135890364646912,0.90217524766922,0.02399362064898014,0.010110597126185894,0.18269595503807068,0.17164728045463562,0.01104867085814476,CS2_1C,0.011542688123881817,0.49484795331954956,0.8284549713134766,0.069885890316429,
15,0.19274048507213593,0.10299623757600784,0.8751160502433777,0.023445961996912956,0.010603313334286213,0.2680312395095825,0.004497980698943138,0.26353326439857483,CX2_0.5C,0.002940216800197959,0.5049305558204651,0.9211379289627075,0.0748596906874992,
