source_file,cell_id,status,nominal_capacity_ah,raw_cycle_count,valid_cycle_count,curve_cycle_count,missing_curve_count,short_curve_count,long_curve_count,minimum_signal_length,median_signal_length,maximum_signal_length,duplicate_cycle_count,nonfinite_capacity_count,nonmonotonic_curve_count,duplicate_q_count,current_signs,issues
/home/JunseoPark/바탕화면/battery_gru/data/MATR/MATR_b1c0.pkl,MATR_b1c0,valid,1.1,1849,1849,1849,0,0,0,858,1069.0,1153,0,0,0,260077,-1,
/home/JunseoPark/바탕화면/battery_gru/data/MATR/MATR_b1c1.pkl,MATR_b1c1,valid,1.1,2158,2158,2158,0,0,0,785,1073.0,1150,0,0,0,307872,-1,
/home/JunseoPark/바탕화면/battery_gru/data/MATR/MATR_b1c11.pkl,MATR_b1c11,valid,1.1,786,786,786,0,0,0,919,1077.0,1137,0,0,0,114325,-1,
/home/JunseoPark/바탕화면/battery_gru/data/MATR/MATR_b1c14.pkl,MATR_b1c14,valid,1.1,878,878,878,0,0,0,924,1042.0,1120,0,0,0,126461,-1,
/home/JunseoPark/바탕화면/battery_gru/data/MATR/MATR_b1c15.pkl,MATR_b1c15,valid,1.1,717,717,717,0,0,0,917,1065.0,1123,0,0,0,103836,-1,
/home/JunseoPark/바탕화면/battery_gru/data/MATR/MATR_b1c16.pkl,MATR_b1c16,valid,1.1,860,860,860,0,0,0,916,1051.0,1104,0,0,0,121158,-1,
/home/JunseoPark/바탕화면/battery_gru/data/MATR/MATR_b1c17.pkl,MATR_b1c17,valid,1.1,855,855,855,0,0,0,913,1055.0,1099,0,0,0,121935,-1,
/home/JunseoPark/바탕화면/battery_gru/data/MATR/MATR_b1c18.pkl,MATR_b1c18,valid,1.1,688,688,688,0,0,50,865,1037.0,31104,0,0,0,99651,-1,
/home/JunseoPark/바탕화면/battery_gru/data/MATR/MATR_b1c19.pkl,MATR_b1c19,valid,1.1,786,786,786,0,0,0,936,1055.0,1104,0,0,0,114029,-1,
/home/JunseoPark/바탕화면/battery_gru/data/MATR/MATR_b1c2.pkl,MATR_b1c2,valid,1.1,2235,2235,2235,0,0,0,863,1081.0,1157,0,0,1,324746,-1,
/home/JunseoPark/바탕화면/battery_gru/data/MATR/MATR_b1c20.pkl,MATR_b1c20,valid,1.1,532,532,532,0,0,0,870,999.0,1098,0,0,0,77605,-1,
/home/JunseoPark/바탕화면/battery_gru/data/MATR/MATR_b1c21.pkl,MATR_b1c21,valid,1.1,557,557,557,0,0,0,902,1025.0,1086,0,0,0,80497,-1,
/home/JunseoPark/바탕화면/battery_gru/data/MATR/MATR_b1c23.pkl,MATR_b1c23,valid,1.1,1012,1012,1012,0,0,0,913,1062.0,1138,0,0,1,142969,-1,
/home/JunseoPark/바탕화면/battery_gru/data/MATR/MATR_b1c24.pkl,MATR_b1c24,valid,1.1,1015,1015,1015,0,0,0,864,1048.0,1144,0,0,0,143628,-1,
/home/JunseoPark/바탕화면/battery_gru/data/MATR/MATR_b1c25.pkl,MATR_b1c25,valid,1.1,852,852,852,0,0,0,840,1068.0,1139,0,0,0,122623,-1,
/home/JunseoPark/바탕화면/battery_gru/data/MATR/MATR_b1c26.pkl,MATR_b1c26,valid,1.1,868,868,868,0,0,0,952,1072.0,1120,0,0,0,124822,-1,
/home/JunseoPark/바탕화면/battery_gru/data/MATR/MATR_b1c27.pkl,MATR_b1c27,valid,1.1,840,840,840,0,0,0,950,1067.0,1123,0,0,0,121972,-1,
/home/JunseoPark/바탕화면/battery_gru/data/MATR/MATR_b1c28.pkl,MATR_b1c28,valid,1.1,858,858,858,0,0,0,824,1058.5,1128,0,0,0,125406,-1,
/home/JunseoPark/바탕화면/battery_gru/data/MATR/MATR_b1c29.pkl,MATR_b1c29,valid,1.1,915,915,915,0,0,0,830,1042.0,1125,0,0,0,129094,-1,
/home/JunseoPark/바탕화면/battery_gru/data/MATR/MATR_b1c3.pkl,MATR_b1c3,valid,1.1,1432,1432,1432,0,0,0,861,1063.0,1131,0,0,0,199562,-1,
/home/JunseoPark/바탕화면/battery_gru/data/MATR/MATR_b1c30.pkl,MATR_b1c30,valid,1.1,707,707,707,0,0,0,877,1067.0,1114,0,0,0,104854,-1,
/home/JunseoPark/바탕화면/battery_gru/data/MATR/MATR_b1c31.pkl,MATR_b1c31,valid,1.1,874,874,874,0,0,0,956,1051.0,1100,0,0,0,124861,-1,
/home/JunseoPark/바탕화면/battery_gru/data/MATR/MATR_b1c32.pkl,MATR_b1c32,valid,1.1,729,729,729,0,0,0,798,1055.0,1116,0,0,0,107433,-1,
/home/JunseoPark/바탕화면/battery_gru/data/MATR/MATR_b1c33.pkl,MATR_b1c33,valid,1.1,755,755,755,0,0,0,806,1061.0,1110,0,0,0,108861,-1,
/home/JunseoPark/바탕화면/battery_gru/data/MATR/MATR_b1c34.pkl,MATR_b1c34,valid,1.1,740,740,740,0,0,0,839,1069.0,1125,0,0,0,105204,-1,
/home/JunseoPark/바탕화면/battery_gru/data/MATR/MATR_b1c35.pkl,MATR_b1c35,valid,1.1,701,701,701,0,0,0,863,1080.0,1131,0,0,0,101177,-1,
/home/JunseoPark/바탕화면/battery_gru/data/MATR/MATR_b1c36.pkl,MATR_b1c36,valid,1.1,702,702,702,0,0,0,857,1086.0,1141,0,0,0,102786,-1,
/home/JunseoPark/바탕화면/battery_gru/data/MATR/MATR_b1c37.pkl,MATR_b1c37,valid,1.1,646,646,646,0,0,0,853,1082.0,1129,0,0,0,94082,-1,
/home/JunseoPark/바탕화면/battery_gru/data/MATR/MATR_b1c38.pkl,MATR_b1c38,valid,1.1,615,615,615,0,0,0,754,1051.0,1113,0,0,0,90363,-1,
