dataset,cell_id,cycle,normalized_life,soh
MATR,MATR_b1c0,1,0.0,0.973353818181818
MATR,MATR_b1c0,2,0.0005411255411255411,0.9744549999999998
MATR,MATR_b1c0,3,0.0010822510822510823,0.9750086363636363
MATR,MATR_b1c0,4,0.0016233766233766235,0.9756127272727273
MATR,MATR_b1c0,5,0.0021645021645021645,0.9759782727272726
MATR,MATR_b1c0,6,0.0027056277056277055,0.9763560909090909
MATR,MATR_b1c0,7,0.003246753246753247,0.9767037272727271
MATR,MATR_b1c0,8,0.003787878787878788,0.9768110909090907
MATR,MATR_b1c0,9,0.004329004329004329,0.9768520909090909
MATR,MATR_b1c0,10,0.00487012987012987,0.9770739999999999
MATR,MATR_b1c0,11,0.005411255411255411,0.9762062727272727
MATR,MATR_b1c0,12,0.005952380952380952,0.977323818181818
MATR,MATR_b1c0,13,0.006493506493506494,0.9755382727272727
MATR,MATR_b1c0,14,0.007034632034632035,0.9780368181818181
MATR,MATR_b1c0,15,0.007575757575757576,0.9749136363636364
MATR,MATR_b1c0,16,0.008116883116883116,0.9783634545454544
MATR,MATR_b1c0,17,0.008658008658008658,0.9783519090909091
MATR,MATR_b1c0,18,0.0091991341991342,0.9785712727272726
MATR,MATR_b1c0,19,0.00974025974025974,0.978679
MATR,MATR_b1c0,20,0.010281385281385282,0.9787759999999999
MATR,MATR_b1c0,21,0.010822510822510822,0.9787595454545455
MATR,MATR_b1c0,22,0.011363636363636364,0.9776826363636364
MATR,MATR_b1c0,23,0.011904761904761904,0.9787721818181817
MATR,MATR_b1c0,24,0.012445887445887446,0.9786772727272727
MATR,MATR_b1c0,25,0.012987012987012988,0.9786976363636364
MATR,MATR_b1c0,26,0.013528138528138528,0.9786637272727272
MATR,MATR_b1c0,27,0.01406926406926407,0.978617909090909
MATR,MATR_b1c0,28,0.01461038961038961,0.9787162727272727
MATR,MATR_b1c0,29,0.015151515151515152,0.9787456363636363
MATR,MATR_b1c0,30,0.015692640692640692,0.9787505454545454
MATR,MATR_b1c0,31,0.016233766233766232,0.9787273636363636
MATR,MATR_b1c0,32,0.016774891774891776,0.9787562727272726
MATR,MATR_b1c0,33,0.017316017316017316,0.9787332727272727
MATR,MATR_b1c0,34,0.017857142857142856,0.9787827272727273
MATR,MATR_b1c0,35,0.0183982683982684,0.978762
MATR,MATR_b1c0,36,0.01893939393939394,0.9787924545454544
MATR,MATR_b1c0,37,0.01948051948051948,0.9787733636363636
MATR,MATR_b1c0,38,0.02002164502164502,0.9788319090909089
MATR,MATR_b1c0,39,0.020562770562770564,0.9788171818181818
MATR,MATR_b1c0,40,0.021103896103896104,0.9787816363636364
MATR,MATR_b1c0,41,0.021645021645021644,0.9787952727272726
MATR,MATR_b1c0,42,0.022186147186147188,0.9789467272727271
MATR,MATR_b1c0,43,0.022727272727272728,0.9787777272727272
MATR,MATR_b1c0,44,0.023268398268398268,0.9787871818181818
MATR,MATR_b1c0,45,0.023809523809523808,0.9787873636363635
MATR,MATR_b1c0,46,0.024350649350649352,0.9766413636363634
MATR,MATR_b1c0,47,0.024891774891774892,0.978932090909091
MATR,MATR_b1c0,48,0.025432900432900432,0.9788692727272726
MATR,MATR_b1c0,49,0.025974025974025976,0.9788255454545455
MATR,MATR_b1c0,50,0.026515151515151516,0.9787972727272728
MATR,MATR_b1c0,51,0.027056277056277056,0.978819
MATR,MATR_b1c0,52,0.027597402597402596,0.9788954545454546
MATR,MATR_b1c0,53,0.02813852813852814,0.9787681818181818
MATR,MATR_b1c0,54,0.02867965367965368,0.9787765454545453
MATR,MATR_b1c0,55,0.02922077922077922,0.9776341818181818
MATR,MATR_b1c0,56,0.02976190476190476,0.9787143636363634
MATR,MATR_b1c0,57,0.030303030303030304,0.9775116363636362
MATR,MATR_b1c0,58,0.030844155844155844,0.9788221818181816
MATR,MATR_b1c0,59,0.031385281385281384,0.9790021818181818
MATR,MATR_b1c0,60,0.03192640692640693,0.9791419999999998
MATR,MATR_b1c0,61,0.032467532467532464,0.9791658181818182
MATR,MATR_b1c0,62,0.03300865800865801,0.9790733636363635
MATR,MATR_b1c0,63,0.03354978354978355,0.9786541818181816
MATR,MATR_b1c0,64,0.03409090909090909,0.9786938181818181
MATR,MATR_b1c0,65,0.03463203463203463,0.978793090909091
MATR,MATR_b1c0,66,0.035173160173160176,0.9786675454545454
MATR,MATR_b1c0,67,0.03571428571428571,0.9787705454545454
MATR,MATR_b1c0,68,0.036255411255411256,0.9787274545454544
MATR,MATR_b1c0,69,0.0367965367965368,0.9775768181818182
MATR,MATR_b1c0,70,0.037337662337662336,0.9785429090909089
MATR,MATR_b1c0,71,0.03787878787878788,0.9773999999999999
MATR,MATR_b1c0,72,0.038419913419913417,0.9785214545454544
MATR,MATR_b1c0,73,0.03896103896103896,0.9784102727272727
MATR,MATR_b1c0,74,0.039502164502164504,0.9784785454545453
MATR,MATR_b1c0,75,0.04004329004329004,0.9784456363636364
MATR,MATR_b1c0,76,0.040584415584415584,0.9784719999999999
MATR,MATR_b1c0,77,0.04112554112554113,0.9783677272727273
MATR,MATR_b1c0,78,0.041666666666666664,0.9783968181818181
MATR,MATR_b1c0,79,0.04220779220779221,0.9784039999999999
MATR,MATR_b1c0,80,0.04274891774891775,0.9783631818181817
MATR,MATR_b1c0,81,0.04329004329004329,0.978352909090909
MATR,MATR_b1c0,82,0.04383116883116883,0.9783877272727272
MATR,MATR_b1c0,83,0.044372294372294376,0.9784844545454544
MATR,MATR_b1c0,84,0.04491341991341991,0.9782283636363636
MATR,MATR_b1c0,85,0.045454545454545456,0.9783876363636362
MATR,MATR_b1c0,86,0.04599567099567099,0.9782299999999998
MATR,MATR_b1c0,87,0.046536796536796536,0.9772239999999999
MATR,MATR_b1c0,88,0.04707792207792208,0.9782953636363635
MATR,MATR_b1c0,89,0.047619047619047616,0.9782186363636363
MATR,MATR_b1c0,90,0.04816017316017316,0.9770980909090907
MATR,MATR_b1c0,91,0.048701298701298704,0.9781729090909089
MATR,MATR_b1c0,92,0.04924242424242424,0.9780895454545454
MATR,MATR_b1c0,93,0.049783549783549784,0.9780222727272726
MATR,MATR_b1c0,94,0.05032467532467533,0.9780684545454545
MATR,MATR_b1c0,95,0.050865800865800864,0.9780380909090908
MATR,MATR_b1c0,96,0.05140692640692641,0.9781010909090908
MATR,MATR_b1c0,97,0.05194805194805195,0.9780712727272726
MATR,MATR_b1c0,98,0.05248917748917749,0.9781023636363636
MATR,MATR_b1c0,99,0.05303030303030303,0.9780377272727271
MATR,MATR_b1c0,100,0.05357142857142857,0.9779896363636363
MATR,MATR_b1c0,101,0.05411255411255411,0.978019818181818
MATR,MATR_b1c0,102,0.054653679653679656,0.9779848181818181
MATR,MATR_b1c0,103,0.05519480519480519,0.9780252727272726
MATR,MATR_b1c0,104,0.055735930735930736,0.9780585454545453
MATR,MATR_b1c0,105,0.05627705627705628,0.977853
MATR,MATR_b1c0,106,0.056818181818181816,0.9779508181818182
MATR,MATR_b1c0,107,0.05735930735930736,0.9779347272727271
MATR,MATR_b1c0,108,0.057900432900432904,0.9778779090909091
MATR,MATR_b1c0,109,0.05844155844155844,0.9778392727272726
MATR,MATR_b1c0,110,0.058982683982683984,0.9778373636363635
MATR,MATR_b1c0,111,0.05952380952380952,0.9778817272727273
MATR,MATR_b1c0,112,0.060064935064935064,0.9778146363636363
MATR,MATR_b1c0,113,0.06060606060606061,0.9765442727272726
MATR,MATR_b1c0,114,0.061147186147186144,0.977852909090909
MATR,MATR_b1c0,115,0.06168831168831169,0.9778210909090909
MATR,MATR_b1c0,116,0.06222943722943723,0.9777405454545454
MATR,MATR_b1c0,117,0.06277056277056277,0.9777313636363636
MATR,MATR_b1c0,118,0.0633116883116883,0.9776261818181817
MATR,MATR_b1c0,119,0.06385281385281386,0.9775011818181817
MATR,MATR_b1c0,120,0.06439393939393939,0.9774672727272725
MATR,MATR_b1c0,121,0.06493506493506493,0.9774768181818181
MATR,MATR_b1c0,122,0.06547619047619048,0.9774373636363636
MATR,MATR_b1c0,123,0.06601731601731602,0.9774659090909089
MATR,MATR_b1c0,124,0.06655844155844155,0.9774800909090907
MATR,MATR_b1c0,125,0.0670995670995671,0.977490909090909
MATR,MATR_b1c0,126,0.06764069264069264,0.9775341818181817
MATR,MATR_b1c0,127,0.06818181818181818,0.9774715454545454
MATR,MATR_b1c0,128,0.06872294372294373,0.9774063636363636
