cell_id,cut_cycle,future_cycle,horizon,voltage_mae,voltage_rmse,voltage_nll,voltage_crps,target_endpoint_q,predicted_endpoint_q,endpoint_std_q
MATR_b1c14,100,101,1,0.023850790505270357,0.04466575733600459,-2.4974087888577636,0.016175426239265697,0.9783281683921814,0.955687940120697,0.004789723549038172
MATR_b1c14,100,102,2,0.023608159093023502,0.04383619745755386,-2.4858914824369225,0.01603504140626851,0.9782829284667969,0.9556849598884583,0.004790099803358316
MATR_b1c14,100,103,3,0.023514036993378576,0.04370427172303439,-2.4827150737713626,0.015993107293514174,0.9782644510269165,0.955687403678894,0.004790822044014931
MATR_b1c14,100,104,4,0.023317558094135767,0.04315281825622811,-2.4804766039349175,0.015887664926244726,0.978249728679657,0.9556884169578552,0.004790966399013996
MATR_b1c14,100,105,5,0.02314941975676898,0.04268641387327584,-2.474225336765154,0.01579512046753575,0.978205680847168,0.9556968808174133,0.00479140505194664
MATR_b1c14,100,106,6,0.023021253567297482,0.04226595182030002,-2.4632038455386254,0.015740884358953162,0.9782355427742004,0.9556930065155029,0.004791957326233387
MATR_b1c14,100,107,7,0.022852337476119255,0.04184436483774449,-2.463216537775364,0.01564884133377479,0.978184163570404,0.9556915760040283,0.004792502149939537
MATR_b1c14,100,108,8,0.0226712527784329,0.04137871702495387,-2.459040541391999,0.015556552152662065,0.9781603813171387,0.9556970596313477,0.00479274382814765
MATR_b1c14,100,109,9,0.022620520545440972,0.041072022223551025,-2.4384364854926006,0.015559426310373495,0.9781233668327332,0.9556933641433716,0.004793526604771614
MATR_b1c14,100,110,10,0.022299153133503443,0.04046798545396261,-2.4596920513858143,0.015349430207083401,0.9780937433242798,0.9556920528411865,0.004793816711753607
MATR_b1c14,100,111,11,0.0221699973911915,0.03984959999429315,-2.439884818323113,0.015288778639037194,0.9780661463737488,0.9556955695152283,0.004794151522219181
MATR_b1c14,100,112,12,0.02211217972838763,0.03964473403311671,-2.4262409019778124,0.01527986759009341,0.9780430793762207,0.955696165561676,0.004794429987668991
MATR_b1c14,100,113,13,0.02192620629245795,0.039304112388019716,-2.436402028335207,0.015166443757824869,0.9780455231666565,0.9556972980499268,0.004794839769601822
