cell_id,cycle,q_normalized,discharge_capacity_ah,voltage_v,soh
MATR_b4c24,50,5.495653545454545e-06,6.0452189e-06,3.5259398909090915,0.9530013636363636
MATR_b4c24,50,0.0009541452727272727,0.0010495598,3.444318775,0.9530013636363636
MATR_b4c24,50,0.0022605581818181814,0.002486614,3.4130788,0.9530013636363636
MATR_b4c24,50,0.0031767522727272728,0.0034944275,3.392303,0.9530013636363636
MATR_b4c24,50,0.004310558,0.004741613800000001,3.3718948500000003,0.9530013636363636
MATR_b4c24,50,0.005691525181818181,0.0062606777,3.3565221,0.9530013636363636
MATR_b4c24,50,0.006494456454545454,0.0071439021,3.3411259500000003,0.9530013636363636
MATR_b4c24,50,0.008371002454545454,0.0092081027,3.3257194,0.9530013636363636
MATR_b4c24,50,0.00943349909090909,0.010376849,3.3156533,0.9530013636363636
MATR_b4c24,50,0.010606124545454544,0.011666737,3.3054376,0.9530013636363636
MATR_b4c24,50,0.011848750909090908,0.013033626,3.2953429,0.9530013636363636
MATR_b4c24,50,0.013306948181818181,0.014637643,3.2851424,0.9530013636363636
MATR_b4c24,50,0.014872474545454544,0.016359722,3.2750497,0.9530013636363636
MATR_b4c24,50,0.01664324727272727,0.018307572,3.2649646,0.9530013636363636
MATR_b4c24,50,0.01867881909090909,0.020546701,3.2549224,0.9530013636363636
MATR_b4c24,50,0.020984172727272727,0.02308259,3.2449079,0.9530013636363636
MATR_b4c24,50,0.023761444545454542,0.026137589,3.2348628,0.9530013636363636
MATR_b4c24,50,0.027174969999999996,0.029892467,3.224834,0.9530013636363636
MATR_b4c24,50,0.03146858727272727,0.034615446,3.2148232,0.9530013636363636
MATR_b4c24,50,0.037056837272727274,0.040762521,3.2051549,0.9530013636363636
MATR_b4c24,50,0.042651956363636355,0.046917152,3.1980939,0.9530013636363636
MATR_b4c24,50,0.048183084545454544,0.053001393,3.192801,0.9530013636363636
MATR_b4c24,50,0.05375742909090908,0.05913317199999999,3.188683,0.9530013636363636
MATR_b4c24,50,0.05932980636363636,0.065262787,3.185246,0.9530013636363636
MATR_b4c24,50,0.06489551181818182,0.071385063,3.1825109,0.9530013636363636
MATR_b4c24,50,0.07046358181818181,0.07750994,3.1801305,0.9530013636363636
MATR_b4c24,50,0.07604965454545454,0.08365462,3.1780095,0.9530013636363636
MATR_b4c24,50,0.08162828363636364,0.089791112,3.1762261,0.9530013636363636
MATR_b4c24,50,0.08723226454545455,0.095955491,3.1744609,0.9530013636363636
MATR_b4c24,50,0.09277092727272727,0.10204802,3.1728835,0.9530013636363636
MATR_b4c24,50,0.09835993636363635,0.10819593,3.1715131,0.9530013636363636
MATR_b4c24,50,0.10395205454545454,0.11434726,3.1701798,0.9530013636363636
MATR_b4c24,50,0.10950632727272727,0.12045696000000002,3.1688008,0.9530013636363636
MATR_b4c24,50,0.11508903636363635,0.12659794,3.1675487,0.9530013636363636
MATR_b4c24,50,0.12065720909090907,0.13272293,3.1663299,0.9530013636363636
MATR_b4c24,50,0.1262344818181818,0.13885793,3.1652389,0.9530013636363636
