cell_id,cycle,cutoff_voltage_v,q_at_cutoff,reached_cutoff,vq_q_endpoint,vq_endpoint_voltage_v,capacity_soh,q_endpoint_minus_soh,q_at_cutoff_rolling_median
MATR_b1c26,1,2.0,0.9787930821681544,True,0.9887739999999998,2.001905,0.9887739999999998,0.0,0.9814842676028696
MATR_b1c26,2,2.0,0.9798424230500887,True,0.9897971818181818,1.9997201,0.9897971818181818,0.0,0.9815623033936376
MATR_b1c26,3,2.0,0.9805926351287697,True,0.9905217272727271,1.9997277,0.9905217272727271,0.0,0.9816403391844055
MATR_b1c26,4,2.0,0.9809899172414355,True,0.9910245454545454,2.0022311,0.9910245454545454,0.0,0.9816911647129541
MATR_b1c26,5,2.0,0.9811409025761874,True,0.9911085454545454,1.9999528,0.9911085454545454,0.0,0.9817419902415028
MATR_b1c26,6,2.0,0.9814842676028696,True,0.9914013636363636,2.0002179,0.9914013636363636,0.0,0.9818233948285151
MATR_b1c26,7,2.0,0.9816403391844055,True,0.9915882727272726,2.001945,0.9915882727272726,0.0,0.9819047994155274
MATR_b1c26,8,2.0,0.9817419902415028,True,0.9917060909090908,2.0001912,0.9917060909090908,0.0,0.9819148782015819
MATR_b1c26,9,2.0,0.9819249569876364,True,0.9918503636363636,1.9999614,0.9918503636363636,0.0,0.9819047994155274
MATR_b1c26,10,2.0,0.9819047994155274,True,0.9919536363636362,2.0000854,0.9919536363636362,0.0,0.9819061256189281
MATR_b1c26,11,2.0,0.9821270180594118,True,0.9920547272727273,2.0000434,0.9920547272727273,0.0,0.9819074518223287
MATR_b1c26,12,2.0,0.9821254045911835,True,0.9920626363636362,2.0002389,0.9920626363636362,0.0,0.9819074518223287
MATR_b1c26,13,2.0,0.9821042836690256,True,0.9921514545454544,1.9999433,0.9921514545454544,0.0,0.9819074518223287
MATR_b1c26,14,2.0,0.9821036357354392,True,0.9921988181818181,1.9998822,0.9921988181818181,0.0,0.9819074518223287
MATR_b1c26,15,2.0,0.9819417527870347,True,0.9921026363636362,2.0018725,0.9921026363636362,0.0,0.9819074518223287
MATR_b1c26,16,2.0,0.9819409372588271,True,0.9921734545454546,2.0019355,0.9921734545454546,0.0,0.9819074518223287
MATR_b1c26,17,2.0,0.9820028268006358,True,0.9921189999999999,1.9998355,0.9921189999999999,0.0,0.9819074518223287
MATR_b1c26,18,2.0,0.982033743347093,True,0.992136909090909,1.9998755,0.9921369999999999,-9.0909090921798e-08,0.9819074518223287
MATR_b1c26,19,2.0,0.98098145767791,True,0.9910675454545453,2.0001483,0.9910675454545453,0.0,0.9819074518223287
MATR_b1c26,20,2.0,0.9819074518223287,True,0.992127909090909,2.0002112,0.992127909090909,0.0,0.9819047994155274
MATR_b1c26,21,2.0,0.9819086219432192,True,0.9921752727272726,1.9999413,0.9921752727272726,0.0,0.981845366590102
MATR_b1c26,22,2.0,0.981845366590102,True,0.9921555454545453,1.9997516,0.9921555454545453,0.0,0.9818013239514006
MATR_b1c26,23,2.0,0.9818013239514006,True,0.9920857272727271,1.9998507,0.9920857272727271,0.0,0.9817992464997328
MATR_b1c26,24,2.0,0.9817992464997328,True,0.9921196363636362,1.9997773,0.9921196363636362,0.0,0.9817182117164622
MATR_b1c26,25,2.0,0.9817182117164622,True,0.9921027272727272,2.000217,0.9921027272727272,0.0,0.9816878918165612
MATR_b1c26,26,2.0,0.9806096346186239,True,0.9910500909090909,2.0000033,0.9910500909090909,0.0,0.9816456766629323
MATR_b1c26,27,2.0,0.9816878918165612,True,0.9921551818181816,1.9998679,0.9921551818181816,0.0,0.9815786257409209
MATR_b1c26,28,2.0,0.9815786257409209,True,0.9922727272727271,1.9996209,0.9922727272727271,0.0,0.9815501377573332
MATR_b1c26,29,2.0,0.9816456766629323,True,0.9921399090909091,2.001864,0.9921399090909091,0.0,0.9815236746988765
MATR_b1c26,30,2.0,0.9815501377573332,True,0.9920981818181817,2.0001884,0.9920981818181817,0.0,0.9815236746988765
MATR_b1c26,31,2.0,0.981425940280372,True,0.992115818181818,1.999989,0.992115818181818,0.0,0.9815038670188388
MATR_b1c26,32,2.0,0.9815038670188388,True,0.9921484545454545,1.9997039,0.9921484545454545,0.0,0.9814535856041159
MATR_b1c26,33,2.0,0.9814535856041159,True,0.9921485454545454,1.9998708,0.9921485454545454,0.0,0.981425940280372
MATR_b1c26,34,2.0,0.9815236746988765,True,0.9921913636363636,1.9997325,0.9921913636363636,0.0,0.9814021552429507
