iteration,joint_total,joint_task,joint_domain,joint_fuzzy,joint_orthogonality,meta_total,meta_support,meta_query,meta_query_domain,body_update_norm,joint_gradient_norm,meta_gradient_norm,grl_strength,source_cv_meta_mae_cycles
1,0.4820500314235687,0.3698526918888092,1.097826600074768,0.0017859353683888912,0.023253826424479485,0.5617772936820984,0.40757086873054504,0.15420642495155334,CS2_1C,0.015286115929484367,0.9415995478630066,1.4745513200759888,0.004999958333749888,
2,0.43206560611724854,0.31879177689552307,1.0916024446487427,0.003237115452066064,0.03951718285679817,0.8594083189964294,0.06303854286670685,0.7963697910308838,CX2_0.5C,0.008682270534336567,0.5691285133361816,1.362636923789978,0.00999966667999952,
3,0.36915329098701477,0.25879475474357605,1.0471919775009155,0.004745762795209885,0.05402056872844696,0.422630250453949,0.3755057752132416,0.047124482691287994,CX2_1C,0.01182519644498825,0.4794546067714691,0.5740618109703064,0.01499887510124065,
4,0.33627280592918396,0.22692102193832397,1.0395658016204834,0.0059602465480566025,0.050971873104572296,0.42145344614982605,0.3707621693611145,0.05069126561284065,CS2_1C,0.014901434071362019,0.49097806215286255,0.7144700288772583,0.01999733375993107,
5,0.3481300473213196,0.24167516827583313,1.0189776420593262,0.008002504706382751,0.041569847613573074,0.762621283531189,0.05582574009895325,0.7067955732345581,CX2_0.5C,0.007820663042366505,0.38664621114730835,1.0788272619247437,0.024994792968420665,
6,0.34172770380973816,0.23613341152668,1.0133720636367798,0.00868819560855627,0.03822670876979828,0.3577665090560913,0.3167683184146881,0.040998201817274094,CX2_1C,0.009347018785774708,0.42587709426879883,0.7391095161437988,0.02999100323881998,
7,0.3370624780654907,0.2344849556684494,0.9950946569442749,0.010490437038242817,0.025435427203774452,0.3191443979740143,0.2896478772163391,0.029496509581804276,CS2_1C,0.009647388011217117,0.33445921540260315,0.6289066076278687,0.0349857153327795,
8,0.3174215853214264,0.2145051658153534,1.0016154050827026,0.009221727028489113,0.022937944158911705,0.6773834228515625,0.042318131774663925,0.6350653171539307,CX2_0.5C,0.004766248632222414,0.4014311134815216,0.8767627477645874,0.039978680311163695,
9,0.3206181526184082,0.21869248151779175,0.9935545325279236,0.010177570395171642,0.020613398402929306,0.25614967942237854,0.19176462292671204,0.06438504904508591,CX2_1C,0.014119981788098812,0.31566321849823,0.6626940369606018,0.04496964958360028,
10,0.3317868411540985,0.23162564635276794,0.9761592745780945,0.011964738368988037,0.01947026327252388,0.368105411529541,0.33375951647758484,0.03434588387608528,CS2_1C,0.0076708667911589146,0.3842443525791168,0.5588873028755188,0.049958374957880025,
11,0.31195294857025146,0.21371987462043762,0.9607158303260803,0.012790980748832226,0.015219363383948803,0.6295562982559204,0.03868207708001137,0.590874195098877,CX2_0.5C,0.0046179089695215225,0.3520524501800537,0.7454209923744202,0.05494460868918738,
12,0.2931192219257355,0.19740359485149384,0.9393290877342224,0.013761533424258232,0.010946494527161121,0.31437385082244873,0.26233339309692383,0.0520404651761055,CX2_1C,0.010953458026051521,0.33534160256385803,0.4975394904613495,0.05992810352914346,
13,0.21331562101840973,0.11857594549655914,0.9221418499946594,0.016051650047302246,0.017229191958904266,0.36401304602622986,0.35257405042648315,0.011438997462391853,CS2_1C,0.013853542506694794,0.3421172499656677,0.6703819036483765,0.06490861277463744,
