iteration,joint_total,joint_task,joint_domain,joint_fuzzy,joint_orthogonality,meta_total,meta_support,meta_query,meta_query_protocol,body_update_norm,joint_gradient_norm,meta_gradient_norm,grl_strength,source_validation_mae_cycles
1,0.8223177790641785,0.6015641689300537,2.1961522102355957,0.0053903479129076,0.008688611909747124,0.9740583896636963,0.429248183965683,0.5448102355003357,protocol_2,0.010077671147882938,0.8102599382400513,1.9271920919418335,0.0033333209877091097,
2,0.6618767976760864,0.43984633684158325,2.21559476852417,0.00372585142031312,0.002847533207386732,0.8191279172897339,0.4854549169540405,0.33367300033569336,protocol_3,0.004614564590156078,0.651211142539978,1.0691701173782349,0.006666567902990472,
3,0.6562657952308655,0.434780478477478,2.188718318939209,0.005885279271751642,0.02319217473268509,0.9912500381469727,0.49094417691230774,0.5003058314323425,protocol_4,0.004556237254291773,0.40193209052085876,2.9364092350006104,0.00999966667999952,
4,0.6962040662765503,0.47374024987220764,2.2070059776306152,0.006905409507453442,0.014179338701069355,1.0173684358596802,0.34210315346717834,0.6752653121948242,protocol_5,0.006806101184338331,0.6644496321678162,2.400512218475342,0.01333254326605915,
5,0.6006167531013489,0.37854328751564026,2.2071967124938965,0.007473932579159737,0.009800579398870468,0.9658446311950684,0.3528335988521576,0.6130110025405884,protocol_6,0.007183917332440615,0.9054210186004639,2.8946168422698975,0.016665123628238687,
6,0.6594015955924988,0.4382377564907074,2.198741912841797,0.006682600826025009,0.009555237367749214,0.8638449311256409,0.5201716423034668,0.3436732888221741,protocol_7,0.003025730373337865,1.047338843345642,2.056509256362915,0.01999733375993107,
7,0.5783975720405579,0.35769781470298767,2.1904854774475098,0.006836960092186928,0.013093961402773857,0.8040816187858582,0.5300186276435852,0.27406299114227295,protocol_8,0.0028350893408060074,1.2361717224121094,2.849135160446167,0.023329099687423804,
8,0.584996223449707,0.36147111654281616,2.2208094596862793,0.005249892361462116,0.01181686669588089,1.0392818450927734,0.48474884033203125,0.554533064365387,protocol_9,0.0041048284620046616,0.5632885098457336,1.6479030847549438,0.02666034747646484,
9,0.5615472793579102,0.3436303436756134,2.1691031455993652,0.005034640431404114,0.007548768073320389,0.6130766868591309,0.3211103677749634,0.2919663190841675,protocol_10,0.0023306962102651596,1.1067944765090942,1.349770426750183,0.02999100323881998,
10,0.5619821548461914,0.3415001332759857,2.198017120361328,0.005002424120903015,0.004302471876144409,0.6786964535713196,0.4297633767127991,0.24893306195735931,protocol_2,0.007191312033683062,0.8654847741127014,2.2517120838165283,0.03332099313882275,
11,0.5806940793991089,0.3614214062690735,2.1863059997558594,0.005095720291137695,0.0038724050391465425,1.145708441734314,0.3444336950778961,0.8012747168540955,protocol_3,0.004302214365452528,1.0224852561950684,2.9174728393554688,0.03665024339991274,
12,0.5675853490829468,0.3480443060398102,2.1890947818756104,0.006289341952651739,0.003171198535710573,0.5783987045288086,0.4309389889240265,0.1474597156047821,protocol_4,0.005654324311763048,0.859329104423523,2.595633029937744,0.039978680311163695,
13,0.5776563882827759,0.3602081537246704,2.1696972846984863,0.005075729452073574,0.0022469768300652504,0.8341860175132751,0.3065177798271179,0.5276682376861572,protocol_5,0.004219000227749348,0.7459637522697449,1.0231927633285522,0.043306230233800314,
14,0.530698299407959,0.311880886554718,2.183332681655884,0.004833482205867767,0.0024242845829576254,0.8205308318138123,0.38333895802497864,0.4371918737888336,protocol_6,0.003897983580827713,1.1860851049423218,2.598788022994995,0.04663281960770016,
15,0.5865997076034546,0.3656332492828369,2.20497989654541,0.004684804938733578,0.0023422446101903915,0.6361263990402222,0.39563044905662537,0.2404959499835968,protocol_7,0.008194366469979286,1.2173880338668823,2.385061740875244,0.049958374957880025,
16,0.5770508646965027,0.36004242300987244,2.1650447845458984,0.005290504544973373,0.002394313458353281,0.7977275252342224,0.4201728403568268,0.37755468487739563,protocol_8,0.003865292528644204,1.476322054862976,1.2929658889770508,0.05328282290096786,
17,0.5799325108528137,0.36266419291496277,2.167318820953369,0.007100890856236219,0.001813799375668168,0.5880183577537537,0.3620868921279907,0.22593145072460175,protocol_9,0.013234463520348072,0.9184750318527222,2.4656789302825928,0.05660609015165763,
18,0.5893554091453552,0.3722538650035858,2.1650261878967285,0.006515707820653915,0.002731287619099021,0.5320888757705688,0.23358756303787231,0.2985013425350189,protocol_10,0.013582021929323673,0.8265681266784668,2.757981538772583,0.05992810352914346,
19,0.5775212049484253,0.36089178919792175,2.15993070602417,0.007151508703827858,0.002787986770272255,0.4683210253715515,0.21052713692188263,0.2577939033508301,protocol_2,0.008665287867188454,2.221362590789795,1.722324013710022,0.06324878996353722,
20,0.5379623174667358,0.3216342329978943,2.156555652618408,0.0072339377366006374,0.0031083354260772467,0.7802959084510803,0.32721853256225586,0.45307737588882446,protocol_3,0.005510805174708366,0.7257400751113892,2.1837503910064697,0.06656807650226271,
21,0.49816927313804626,0.2792941927909851,2.1832468509674072,0.006721077486872673,0.0021433387883007526,0.4621928632259369,0.22814007103443146,0.23405279219150543,protocol_4,0.01199933048337698,0.7375530004501343,2.5774710178375244,0.069885890316429,
22,0.5707105398178101,0.3556807339191437,2.1446077823638916,0.006788425147533417,0.0022961061913520098,0.7067505121231079,0.2830602526664734,0.4236902594566345,protocol_5,0.005525113083422184,0.7895378470420837,1.5213896036148071,0.07320215870718139,
23,0.5111687779426575,0.295091837644577,2.1556944847106934,0.006364238448441029,0.0018923835596069694,0.616664469242096,0.24921171367168427,0.3674527406692505,protocol_6,0.0035925351548939943,0.5921253561973572,2.4324309825897217,0.0765168091120263,
