source_file,cell_id,status,nominal_capacity_ah,raw_cycle_count,valid_cycle_count,curve_cycle_count,missing_curve_count,short_curve_count,long_curve_count,minimum_signal_length,median_signal_length,maximum_signal_length,duplicate_cycle_count,nonfinite_capacity_count,nonmonotonic_curve_count,duplicate_q_count,current_signs,issues
/home/JunseoPark/바탕화면/battery_gru/data/HUST/HUST_1-1.pkl,HUST_1-1,valid,1.1,1504,1504,1504,0,0,0,676,782.0,836,0,0,0,0,-1,
/home/JunseoPark/바탕화면/battery_gru/data/HUST/HUST_1-2.pkl,HUST_1-2,valid,1.1,2678,2678,2678,0,0,0,584,727.0,813,0,0,0,0,-1,
/home/JunseoPark/바탕화면/battery_gru/data/HUST/HUST_1-3.pkl,HUST_1-3,valid,1.1,1858,1858,1858,0,0,0,516,683.5,779,0,0,0,0,-1,
/home/JunseoPark/바탕화면/battery_gru/data/HUST/HUST_1-4.pkl,HUST_1-4,valid,1.1,1500,1500,1500,0,0,0,498,672.0,765,0,0,0,0,-1,
/home/JunseoPark/바탕화면/battery_gru/data/HUST/HUST_1-5.pkl,HUST_1-5,valid,1.1,1971,1971,1971,0,0,0,522,639.0,750,0,0,0,0,-1,
/home/JunseoPark/바탕화면/battery_gru/data/HUST/HUST_1-6.pkl,HUST_1-6,valid,1.1,1143,1143,1143,0,0,0,592,720.0,887,0,0,0,0,-1,
/home/JunseoPark/바탕화면/battery_gru/data/HUST/HUST_1-7.pkl,HUST_1-7,valid,1.1,1678,1678,1678,0,0,0,507,643.0,706,0,0,0,0,-1,
/home/JunseoPark/바탕화면/battery_gru/data/HUST/HUST_1-8.pkl,HUST_1-8,valid,1.1,2285,2285,2285,0,0,0,466,622.0,687,0,0,1,0,-1,
/home/JunseoPark/바탕화면/battery_gru/data/HUST/HUST_10-1.pkl,HUST_10-1,valid,1.1,1702,1702,1702,0,0,0,434,592.5,656,0,0,0,0,-1,
/home/JunseoPark/바탕화면/battery_gru/data/HUST/HUST_10-2.pkl,HUST_10-2,valid,1.1,1697,1697,1697,0,0,0,384,577.0,682,0,0,0,0,-1,
/home/JunseoPark/바탕화면/battery_gru/data/HUST/HUST_10-3.pkl,HUST_10-3,valid,1.1,1848,1848,1848,0,0,0,396,563.0,643,0,0,0,0,-1,
/home/JunseoPark/바탕화면/battery_gru/data/HUST/HUST_10-4.pkl,HUST_10-4,valid,1.1,1811,1811,1811,0,0,0,620,771.0,847,0,0,0,0,-1,
/home/JunseoPark/바탕화면/battery_gru/data/HUST/HUST_10-5.pkl,HUST_10-5,valid,1.1,2030,2030,2030,0,0,0,505,681.5,771,0,0,0,0,-1,
/home/JunseoPark/바탕화면/battery_gru/data/HUST/HUST_10-6.pkl,HUST_10-6,valid,1.1,2285,2285,2285,0,0,0,538,718.0,797,0,0,0,0,-1,
/home/JunseoPark/바탕화면/battery_gru/data/HUST/HUST_10-7.pkl,HUST_10-7,valid,1.1,1783,1783,1783,0,0,0,518,690.0,780,0,0,0,0,-1,
/home/JunseoPark/바탕화면/battery_gru/data/HUST/HUST_10-8.pkl,HUST_10-8,valid,1.1,1400,1400,1400,0,0,0,612,746.0,812,0,0,0,0,-1,
/home/JunseoPark/바탕화면/battery_gru/data/HUST/HUST_2-2.pkl,HUST_2-2,valid,1.1,2651,2651,2651,0,0,0,437,611.0,714,0,0,0,0,-1,
